product_id,product_name,category,unit,spec,list_price_vnd,moq_units,bulk_discount_rule,lead_time_days
SP001,Nước ngọt có ga Cola 330ml,Nước giải khát,Thùng,24 lon,195000,10,30+ thùng: -2% | 80+ thùng: -4% | 150+ thùng: -7%,2
SP002,Nước ngọt có ga Cam 330ml,Nước giải khát,Thùng,24 lon,192000,10,30+ thùng: -2% | 80+ thùng: -4% | 150+ thùng: -7%,1
SP003,Nước suối tinh khiết 500ml,Nước giải khát,Thùng,24 chai,88000,10,30+ thùng: -2% | 80+ thùng: -4% | 150+ thùng: -7%,2
SP004,Nước suối tinh khiết 1.5L,Nước giải khát,Thùng,12 chai,105000,10,30+ thùng: -2% | 80+ thùng: -4% | 150+ thùng: -7%,1
SP005,Trà xanh không độ 455ml,Nước giải khát,Thùng,24 chai,168000,10,30+ thùng: -2% | 80+ thùng: -4% | 150+ thùng: -7%,1
SP006,Trà ô long 450ml,Nước giải khát,Thùng,24 chai,175000,10,30+ thùng: -2% | 80+ thùng: -4% | 150+ thùng: -7%,3
SP007,Nước tăng lực Number 1,Nước giải khát,Thùng,24 chai,205000,10,30+ thùng: -2% | 80+ thùng: -4% | 150+ thùng: -7%,1
SP008,Nước ép cam ép 1L,Nước giải khát,Thùng,12 hộp,288000,10,30+ thùng: -2% | 80+ thùng: -4% | 150+ thùng: -7%,2
SP009,Sữa tươi tiệt trùng 180ml,Sữa & chế phẩm,Thùng,48 hộp,425000,10,20+ thùng: -3% | 50+ thùng: -5% | 100+ thùng: -8%,3
SP010,Sữa đặc có đường 380g,Sữa & chế phẩm,Thùng,48 lon,890000,10,20+ thùng: -3% | 50+ thùng: -5% | 100+ thùng: -8%,1
SP011,Sữa chua uống men sống 65ml,Sữa & chế phẩm,Thùng,48 chai,312000,10,30+ thùng: -2% | 80+ thùng: -4% | 150+ thùng: -7%,3
SP012,Sữa bột nguyên kem 400g,Sữa & chế phẩm,Thùng,12 hộp,1450000,5,10+ thùng: -3% | 25+ thùng: -5% | 50+ thùng: -7%,1
SP013,Bánh quy bơ hộp thiếc 340g,Bánh kẹo,Thùng,12 hộp,720000,10,20+ thùng: -3% | 50+ thùng: -5% | 100+ thùng: -8%,1
SP014,Bánh gạo vị ngọt 150g,Bánh kẹo,Thùng,30 gói,285000,10,30+ thùng: -2% | 80+ thùng: -4% | 150+ thùng: -7%,1
